"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"43322709000116","205 LOTE 01 LOJA 12 12","12","","SUL AGUAS CLARAS","9701","DF","71925000"
"04111457000124","SHC/NORTE CL QUADRA 215 BLOCO B 49","49","LOJA 27 SUBSOLO","ASA NORTE","9701","DF","70310500"
"04111808000105","QNO 03 CONJUNTO K LOTE 01","01","","CEILANDIA","9701","DF","72250311"
"51982947000186","QUADRA 42 16","16","","DEL LAGO I (ITAPOA)","9701","DF","71591360"
"31051908000158","QR 404 CONJUNTO 8 01","01","","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72318109"
"32383921000177","QI 7 CONJUNTO W 2","2","LOJA 1","GUARA I","9701","DF","71020246"
"04117262000191","SHCN CL QUADRA 113 BLOCO D S/N","S/N","LOJA 69 TERREO","ASA NORTE","9701","DF","70763540"
"35885048000109","MORRO DA CRUZ Q43","Q43","CONJ 10","RESIDENCIAL MORRO DA CRUZ (SAO SEBASTIAO)","9701","DF","71693500"
"04118553000102","SHC/SW CLSW QUADRA 100 BLOCO A LOJA 26 E S/N","S/N","","SETOR SUDOESTE","9701","DF","70673633"
"04120396000161","SHCN CL QUADRA 114 BLOCO C S/N","S/N","LOJA 70","ASA NORTE","9701","DF","70764530"
"32576238000156","SHN QUADRA 1 BLOCO D S/N","S/N","CONJ  A                   ANDAR 12                  SALA  1213","ASA NORTE","9701","DF","70701040"
"04124131000131","SEP/SUL EQ. 714/914 CONJUNTO D SALA 408 41","41","CENT. EXEC. SABIN","ASA SUL","9701","DF","70310500"
"04124759000137","CENTRAL LOTE 1124","1124","LOJA  05","NUCLEO BANDEIRANTE","9701","DF","71720560"
"04125687000142","QNP 15 CONJ. A CASA 21","21","LOJA 02","P' NORTE","9701","DF","72241601"
"04129578000101","SHC/SUL COM LOCAL QD 308 BLOCO A LOJA 18 S/N","S/N","","ASA SUL","9701","DF","70355510"
"04130255000120","SHC/NORTE CL 315 BL C, LJ 34","34","","ASA NORTE","9701","DF","70310500"
"04137459000192","SHC/SW CLSW 103","103","BLOCO B, LOJA 01","SUDOESTE","9701","DF","70310500"
"31216086000118","SEPS 710/910 SALA 434","434","CONJ  D                   EDIF  VIA BRASIL","ASA SUL","9701","DF","70390108"
"04138182000112","QDA 04 CONJ C LOTE 20 LOJA 07","07","SRL","PLANALTINA","9701","DF","73320030"
"04138387000106","AE 20/21","20/21","LD OESTE LJ 24 TERREO","GAMA","9701","DF","72405080"
"04138910000196","QN 614 CONJUNTO C LOTE 09","09","","SAMAMBAIA","9701","DF","72310108"
"04139976000109","QNE 16 LOTE 20","20","LOJA 03","TAGUATINGA NORTE","9701","DF","72125180"
"04141330000158","02 CONJUNTO A LOTE 04 LOJA 01","01","SETOR SUL RESIDENCIAL","GAMA","9701","DF","72491010"
"14556387000171","SERRA AZUL QD 16","QD 16","CASA 06","SOBRADINHO","9701","DF","73070045"
"04144807000159","RODOVIARIA DE BRASILIA SN","SN","MZNINOOESTE               LOJA  28","ZONA CIVICO-ADMINISTRATIVA","9701","DF","70089000"
"50917737000141","AR 12 CONJUNTO 18 9","9","","SETOR OESTE (SOBRADINHO II)","9701","DF","73062218"
"57852994000191","QI 8 CONJUNTO K 32","32","","GUARA I","9701","DF","71010115"
"04154557000138","15 LOTE 14 LOJA A","A","SETOR LESTE COML","GAMA","9701","DF","72491010"
"27411691000172","SIG QUADRA 8 SN","SN","LOTE  2325/2335","ZONA INDUSTRIAL","9701","DF","70610480"
"04157213000182","QNB 18 CASA 05","05","FRENTE","TAGUATINGA","9701","DF","72115180"
"04157931000159","QNM 18 CONJUNTO F LOTE 04","04","SALA 204","CEILANDIA","9701","DF","72210080"
"04158023000180","SHC/SW CLSW 304 BLOCO C LOJA 44","44","","SETOR SUDOESTE","9701","DF","70673633"
"60713929000190","QUADRA 1 CONJUNTO A 01","01","","ITAPOA I","9701","DF","71590203"
"04162314000141","21 LOTES 01/03","01/03","LOJA D SETOR LESTE","GAMA","9701","DF","72491010"
"04162320000107","AC RUA 05 SUL LOTE 07","07","LOJA  01 TERREO","AGUAS CLARAS","9701","DF","71937180"
"04164312000191","SHC/SW CLSW 102 BLOCO C S/N","S/N","LOJAS 71, 73 E 75","SUDOESTE","9701","DF","70670203"
"04164344000197","SHC/NORTE CL QUADRA 216 BLOCO A SN","SN","LOJA 58 SUBSOLO","ASA NORTE","9701","DF","70310500"
"31452281000147","ADE CONJUNTO 21 lt 2/3","lt 2/3","","AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS)","9701","DF","71989600"
"04167451000179","QI 06 BLOCO B S/N","S/N","LOJA    37","GUARA  I","9701","DF","70310500"
"04167648000108","SRE/SUL QUADRA 10 COMERCIO LOCAL BLOCO A LOTE 02 SN","SN","LOJA  27","CRUZEIRO","9701","DF","70645510"
"26073581000185","ESTRUTURAL 68","68","","VILA ESTRUTURAL","9701","DF","71300000"
"60714479000150","QNP 28 CONJUNTO F 20","20","CASA 20","CEILANDIA SUL (CEILANDIA)","9701","DF","72235806"
"60714511000105","VILLE MONTAGNE 07","07","QUADRA16C","SETOR HABITACIONAL JARDIM BOTANICO","9701","DF","71680357"
"12949512000188","QNP 18 CONJUNTO A CS 25","CS 25","LOJA 02","CEILANDIA SUL","9701","DF","72231801"
"56707545000197","QNO 18 CONJUNTO 8 6","6","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72260808"
"04179488000117","SMDB CONJUNTO 12 BLOCO A LOJAS 21 E 68 S/N","S/N","","SAO SEBASTIAO","9701","DF","71691001"
"04183089000120","05 CONJUNTO 02 LOTE 07","07","SETOR OESTE","SOBRADINHO","9701","DF","73070043"
"04185873000177","QI 27 BLOCO A SALAO 301 S/N","S/N","","GUARA II","9701","DF","71020001"
"04186596000117","HC/NORTE CL QD 309 BLOCO C S/N","S/N","LOJA  50","ASA NORTE","9701","DF","70755530"
"04187314000104","08 BLOCO 19 LOTE 08 LOJA 01 S/N","S/N","","SOBRADINHO","9701","DF","73005080"
"04191610000170","QSE 14 LOTE 13","13","","TAGUATINGA","9701","DF","71920540"
"04191622000103","QSF 13 LOTE 402 PARTE A SN","SN","","TAGUATINGA","9701","DF","71920540"
"04191636000119","QNO 4 CONJUNTO A S/N","S/N","LOTE  15","CEILANDIA NORTE (CEILANDIA)","9701","DF","72250401"
"22573921000186","SCN QUADRA 2 BLOCO D 184","184","","ASA NORTE","9701","DF","70712904"
"04198223000166","08 LOTE 21 RUA DEODATO LOULY S/N","S/N","VILA VICENTINA","PLANALTINA","9701","DF","73320030"
"04201070000169","SHIN CA 05 LOTE I BLOCO I S/N","S/N","LOJA  108 TERREO","LAGO NORTE","9701","DF","71505000"
"47118602000101","DF-425 KM 3 01","01","COND SOL NASCENTE","SETOR HABITACIONAL CONTAGEM (SOBRADINHO)","9701","DF","73092905"
"04202417000198","29 LOTE 21 SALA 01","01","SETOR CENTRAL COML","GAMA","9701","DF","72405290"
"04202633000133","QDA CENTRAL BLOCO 3 LOJA 58","58","ED POLICENTER","SOBRADINHO","9701","DF","73070043"
"04209960000117","CONTORNO A. ESPECIAL N.02 LT-G S/N","S/N","LOJA-12","NUCLEO BANDEIRANTE","9701","DF","71705500"
"04211932000134","SHC/NORTE CL QUADRA 104 BLOCO A 46","46","SALA 122","ASA NORTE","9701","DF","70310500"
"04214098000130","QUADRA 1 SN","SN","LOTE: 08 LJ BC;","SETOR SUL (GAMA)","9701","DF","72410100"
"31651273000120","QS 1 RUA 210 LOTE 40","40","      TORRE B             SALA  118","TAGUATINGA SUL (TAGUATINGA)","9701","DF","71950904"
"04217835000159","QNO 13 CONJUNTO O LOTE 08","08","LOJA  02","CEILANDIA","9701","DF","72255315"
"04218164000140","SHC/SW CLSW 304 BLOCO C LOJAS 56/60","56/60","","SETOR SUDOESTE","9701","DF","70673633"
"04220589000194","CONTORNO, BLOCO 1.065, CASA  01"," 01","","NUCLEO BANDEIRANTE","9701","DF","71715056"
"04221760000180","QNM 23 CONJUNTO O CASA 23","23","LOJA  01","CEILANDIA","9701","DF","72215230"
"04221763000113","08 BLOCO 19 LOTE 03 LOJA 02 S/N","S/N","SOBRADINHO","BRASILIA","9701","DF","70310500"
"04222534000113","QNP 14 CONJUNTO Z LOTE 12","12","LOJA 01","CEILANDIA","9701","DF","72237100"
"04222575000100","05 CONJUNTO D CASA 11","11","","SOBRADINHO","9701","DF","73070043"
"04222822000178","SRTVN QD 702 BL.P  SALA 2144","2144","ED.BSB RADIO CENTER","ASA NORTE","9701","DF","70719900"
"58021793000105","8E CONJUNTO A 37","37","","ARAPOANGA (PLANALTINA)","9701","DF","73368480"
"04223807000144","PARANOA CONJ. 14 LOTE 14","14","LOJA 02","PARANOA","9701","DF","71571817"
"04223835000161","SHIQ DF 001 EPCT KM 05 CCAUEX S/N","S/N","","LAGO NORTE","9701","DF","71503501"
"46622124000100","QNQ 2 CONJUNTO 3 LOTE 1","LOTE 1","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72270203"
"10482527000153","SGAS 614 S/N","S/N","CONJ  C                   SALA  44","ASA SUL","9701","DF","70200740"
"04232349000100","QC 05 LOTE 04 LOJA 01","01","SITIO DO GAMA","SANTA MARIA","9701","DF","72593305"
"04233107000130","SRES COMERCIO LOCAL 117","117","BLOCO A LOJA","CRUZEIRO","9701","DF","70640515"
"04233116000121","SDS ED MIGUEL BADYA BLOCO L LOJA 05","05","ASA SUL","PLANO PILOTO","9701","DF","70310500"
"33442932000143","SQN 403 SN","SN","BLOCO A;LOJA 33","ASA NORTE","9701","DF","70835000"
"50919832000184","CLN (COMERCIO) 5 BLOCO H 203","203","CONJ 02 APTO","RIACHO FUNDO I","9701","DF","71805528"
"04243917000178","SHCN CL QD 308 CL BL C N 51 SALA 104","104","SOBRELOJA","ASA NORTE","9701","DF","70747530"
"04244035000127","A/ESP. 01 ENTRE QUADRA 55/56, LOJA E-422 422","422","SETOR CENTRAL","GAMA","9701","DF","72405610"
"04246058000170","SGA/SUL QD. 910 CONJ. B BL. A SALA 123","123","","ASA SUL","9701","DF","70310500"
"59281922000167","QUADRA 201 CONJUNTO 5 S/N","S/N","CASA 04","SETOR RESIDENCIAL OESTE (SAO SEBASTIAO)","9701","DF","71692413"
"17444903000164","AGRICOLA SUCUPIRA CHA 22","CHA 22","LOTE 27 H","RIACHO FUNDO I","9701","DF","71827630"
"04252790000153","QNN 20 CONJ B CASA 01","01","","CEILANDIA","9701","DF","72220200"
"32644623000193","SHIN QI 4 CONJUNTO 9 22","22","","SETOR DE HABITACOES INDIVIDUAIS NORTE","9701","DF","71510290"
"04254367000192","QI 31 BLOCO A S/N","S/N","LOJA 06","GUARA II","9701","DF","71065310"
"36437897000162","QUADRA 14 17","17","","SETOR OESTE (GAMA)","9701","DF","72425140"
"26899402000163","QE 40 CONJUNTO Q 02","02","APT 302","GUARA II","9701","DF","71070172"
"49021985000120","QN 120 CONJUNTO 2 2","2","APT 302","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72304052"
"04258114000197","SHC/NORTE CL QUADRA 304 BLOCO D 57","57","SALA 201","ASA NORTE","9701","DF","70736520"
"24499201000143","QS 106 CONJUNTO 5 Lote 9","Lote 9","LOJA 09","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72302515"
"53437157000145","204 225","225","BLOCO B;EDIF ALFA MIX","SUL (AGUAS CLARAS)","9701","DF","71939540"
"04269310000167","CLSW 102 BLOCO B LJ 68","LJ 68","TERREO;","SETOR SUDOESTE","9701","DF","70670512"
"59301686000101","CLSW 105 BLOCO B 17","17","","SETOR SUDOESTE","9701","DF","70670432"
"04270991000183","SEP/SUL EQ 702/902 CONJ A/PARTE SALA 07","07","MEZANINO - FUNAI","ASA SUL","9701","DF","70390025"
"04271080000170","SHC/SUL COM LOC QD. 114 BLOCO B S/N","S/N","LOJA 29","ASA SUL","9701","DF","70377520"
"04271484000164","SHC/SUL CL QUADRA 111 BLOCO C S/N","S/N","LOJA 22","ASA SUL","9701","DF","70374530"
"32328232000160","COPAIBA 1712","1712","CONJ Sala","NORTE (AGUAS CLARAS)","9701","DF","71919540"
"04274174000101","04 LOTE 06","06","LOJA C ST SUL COML","GAMA","9701","DF","72491010"
"04274310000155","QNL 08 CONJUNTO F LOTE 10","10","PARTE A","TAGUATINGA","9701","DF","71920540"
"60717839000177","QUADRA 5 CONJUNTO A 55","55","","SETOR RESIDENCIAL LESTE (PLANALTINA)","9701","DF","73360501"
"04275880000160","QDA 42 LOTE 09","09","LJ D  ST LESTE","GAMA","9701","DF","72491010"
"22041407000108","QN 614 CONJUNTO C 9","9","APT 302","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72322573"
"27471315000173","CLS 212 BLOCO B 20/22","20/22","","ASA SUL","9701","DF","70275520"
"27499865000109","33 57","57","","VILA SAO JOSE (SAO SEBASTIAO)","9701","DF","71693034"
"04281619000172","QE 26 CONJUNTO I LOTE 17","17","","GUARA","9701","DF","71090000"
"34962337000100","QUADRA 4 CONJUNTO 10 0","0","CASA 22","SETOR NORTE (VILA ESTRUTURAL)","9701","DF","71258400"
"40054760000104","QUADRA 11 66","66","","SETOR LESTE (GAMA)","9701","DF","72450110"
"04289106000108","SHCG/NORTE CLR QUADRA 713 BLOCO G 33","33","APARTAMENTO 103","ASA NORTE","9701","DF","70310500"
"04291354000193","QSB 15 LOTE 15 LOJA 01","01","TAGUATINGA","BRASILIA","9701","DF","72015650"
"04291524000130","03 CONJUNTO C LOTE 60 LOJA 04 S/N","S/N","SRL","PLANALTINA","9701","DF","73320030"
"04294034000197","QNB 06 CASA 01 S/N","S/N","","TAGUATINGA NORTE","9701","DF","72115060"
"04294090000121","QND 17 CASA 02","02","","TAGUATINGA","9701","DF","72120170"
"04294828000150","QR 402 CONJUNTO J CASA 01","01","","SANTA MARIA","9701","DF","72501100"
"37700372000130","QUADRA 1 CONJUNTO 11 18","18","LOJA 01","SETOR LESTE (VILA ESTRUTURAL)","9701","DF","71261065"
"02188797000128","SHC/NORTE CL QUADRA 311 BLOCO D LOJA 58 SUBSOLO S/N","S/N","","ASA NORTE","9701","DF","70757540"
"04295848000146","SGCV/SUL LOTE 09 LJS 310/314/316/318 -","-","FREE PARK","SGCV/SUL","9701","DF","71215100"
"04295860000150","SHC/ SUL COMERCIO LOCAL QUADRA 311","311","BLOCO B LOJA 15","ASA SUL","9701","DF","70364520"
"04299347000138","SHCG/NORTE CR QUADRA 716 BLOCO F LOJA 32","32","","ASA NORTE","9701","DF","70770660"
"04301868000182","QNP 09 CONJUNTO B CASA 01","01","","SETOR P NORTE","9701","DF","70310500"
"59315927000163","ESTRUTURAL S/N","S/N","","VILA ESTRUTURAL","9701","DF","71300000"
"04303005000144","NORTE QR 316 CONJUNTO O S/N","S/N","LOTE  24","SANTA MARIA","9701","DF","72546615"
"04307787000190","EQ  31/33  CENTRO COMUNAL  II LOTE 05","05","SALA 325","GUARA  II","9701","DF","70310500"
"04308046000123","18, LOTE 03, LOJA A","A","SETOR LESTE COMERCIAL","GAMA","9701","DF","72405370"
"04309393000170","QE 07 BLOCO H SALA 114","114","","GUARA","9701","DF","71020687"
"37835631000130","12 (POLO DE MODAS) S/N","S/N","LOTE 54 APARTAMENTO 102","GUARA II","9701","DF","71070512"
"04311647000195","01, CONJUNTO Q, CASA 01","01","S/SUL-RESIDENCIAL","GAMA","9701","DF","72491010"
"21868508000186","CONJUNTO C SN","SN","CASA 23","CONDOMINIO COMERCIAL E RESIDENCIAL SOBRADINHO (SOB","9701","DF","73084320"
"04316083000183","TERCEIRA AVENIDA OFICIO BL. 380/510 LOTE 510","510","LOJA 03","NUCLEO BANDEIRANTE","9701","DF","71720515"
"29716828000122","QUADRA 203 CONJUNTO 6 40","40","LOTE 40;ANDAR 40;CASA 40;EDIF 40","SETOR RESIDENCIAL OESTE (SAO SEBASTIAO)","9701","DF","71692616"
"24353818000156","QR 310 CONJUNTO Q 310","310","CONJ Q;CASA 28","SANTA MARIA","9701","DF","72510517"
"19760442000164","QR 306 CONJUNTO 7 SN","SN","QUADRA QR 306 CJ 07 CS 01","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72306307"
"22290727000193","QNN 8 CONJUNTO B 38","38","","CEILANDIA SUL (CEILANDIA)","9701","DF","72220082"
"53327779000110","SHCSW CL SW301 S/N","S/N","BLOCO B                   LOJA  64","SETOR SUDOESTE","9701","DF","70673602"
"04330472000163","SHC/SW CLSW 103 BLOCO B LOJA 75","75","","SUDOESTE","9701","DF","70310500"
"17129704000161","QN 5 CONJUNTO 19 19","19","","RIACHO FUNDO I","9701","DF","71805419"
"04333780000142","SHC/NORTE COM LOC Q 111 BLOCO D SALA 206","206","ENTRADA 51","ASA NORTE","9701","DF","70310500"
"21312180000117","QNG 20 14","14","","TAGUATINGA NORTE (TAGUATINGA)","9701","DF","72130200"
"49433123000105","QN 31 CONJUNTO 4 1/3","1/3","BLOCO 10;APT 303","RIACHO FUNDO II","9701","DF","71880714"
"24698512000131","QI 24 L1 A 13 OOOO","OOOO","APT 1703 ;ANDAR 17;BLOCO D;EDIF MIAMI","SETOR INDUSTRIAL (TAGUATINGA)","9701","DF","72135240"
"04343989000197","02 CONJUNTO B LOTE 66 LOJA 03","03","","CANDANGOLANDIA","9701","DF","71725202"
"04344264000113","04 BLOCO A LOTE 08","08","LOJA  A TERREO            SETOR SUL COMERCIAL","GAMA","9701","DF","72415230"
"36775621000194","QS 12 S/N","S/N","CONJ 1A;LOTE 03;LOJA 02","RIACHO FUNDO I","9701","DF","71825200"
"24791990000191","QR 308 CONJUNTO B 201","201","","SANTA MARIA","9701","DF","72508502"
"04347584000127","QR 03 CONJUNTO  B LOTE 65","65","LOJA  01","CANDANGOLANDIA","9701","DF","71725302"
"04350143000184","SHC/NORTE CL QD 407 BLOCO C LOJA 29","29","","ASA NORTE","9701","DF","70855530"
"34825479000117","QUADRA 6 CONJUNTO I SN","SN","LOTE 18;APT 204","VARJAO","9701","DF","71555217"
"04352475000106","SHC/NORTE CL QUADRA 315 BLOCO B S/N","S/N","LOJAS 62 E 70","ASA NORTE","9701","DF","70310500"
"04352488000177","08 CONJUNTO A LOTE 21","21","","SOBRADINHO","9701","DF","73070043"
"19461123000158","QE 34 CONJUNTO F 27","27","CASA 27","GUARA II","9701","DF","71065062"
"04353204000167","QR 201 CONJ H LOTE 23","23","SANTA MARIA","SANTA MARIA","9701","DF","72501100"
"49952228000170","SEPN 515 BLOCO E 104","104","","ASA NORTE","9701","DF","70770505"
"44897748000104","QUADRA 300 CONJUNTO 18 16","16","","RECANTO DAS EMAS","9701","DF","72620119"
"44900711000198","MODULO 7 08 A","08 A","","SETOR MANSOES ITIQUIRA (PLANALTINA)","9701","DF","73403121"
"04358259000160","SHC/NORTE CL QUADRA 208 BLOCO A LOJA 43","43","","ASA NORTE","9701","DF","70310500"
"04364961000136","QMSW 5 LOTE 10 BLOCO B S/N","S/N","LOJA  12","SETOR SUDOESTE","9701","DF","70680542"
"26302988000137","ESPECIAL LESTE 24/25","24/25","LOJA  04","SETOR CENTRAL (GAMA)","9701","DF","72405610"
"04370866000145","SHC/SUL EQ 414/415 BLOCO A LOJA 124","124","TERREO","ASA SUL","9701","DF","70297400"
"04375105000186","QUADRA 30 LOTE 20 LOJA 02","02","SETOR SETOR CENTRAL","GAMA","9701","DF","72405300"
"04377296000115","SHC/NORTE CL QUADRA 211 BLOCO A LOJA 20","20","","ASA NORTE","9701","DF","70863510"
"37042803000119","TERCEIRA AVENIDA BLOCO 1680 10","10","CASA  .","NUCLEO BANDEIRANTE","9701","DF","71720021"
"04379131000182","SHC/SUL CL QUADRA 208 BLOCO C S/N","S/N","LOJA 02","ASA SUL","9701","DF","70254530"
"04381111000146","SHC/NORTE CL QUADRA 305 BLOCO B N 48 101","101","SALA","ASA NORTE","9701","DF","70737520"
"04383982000107","SHIGS 707 BLOCO M CASA 73","73","","ASA SUL","9701","DF","70310500"
"04384347000136","SHC/SUL CR QUADRA 508 BLOCO C LOJA 67","67","","ASA SUL","9701","DF","70351535"
"04384660000174","QN 14-A CONJUNTO 01 LOTE 30","30","LOJA 02","RIACHO FUNDO II","9701","DF","70310500"
"34832712000199","QS 16 CONJUNTO 1C 05","05","QUADRA QS 16;CONJ 1C;LOTE 05;APT 02","RIACHO FUNDO I","9701","DF","71825643"
"34177399000100","4 CONJUNTO 3 LOTE 6 BLOCO E 304","304","","PARANOA PARQUE (PARANOA)","9701","DF","71588130"
"32065167000127","1E CONJUNTO B 19A","19A","LOTE","ARAPOANGA (PLANALTINA)","9701","DF","73368422"
"04396139000157","ESPECIAL 20/21 S/N","S/N","SALA  11 ALTERNATIVO CENTE","GAMA  SETOR CENTRAL","9701","DF","72405650"
"04398242000136","STN CONJ. O CONSUTORIO T-05 TERRO S/N","S/N","","ASA NORTE","9701","DF","70310500"
"04398621000126","SHC/NORTE CL QUADRA 104 BLOCO D 46","46","SALA 121","ASA NORTE","9701","DF","70310500"
"30812435000100","SOBRADINHO II AR 22 CJ 1 LT 1 S/N","S/N","CASA  1D","SOBRADINHO II","9701","DF","73065221"
"23523179000167","QS 406 01","01","CONJ h;LOTE 01;SALA 01","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72318570"
"23582441000144","CLSW 103 BLOCO C 137","137","","SETOR SUDOESTE","9701","DF","70670523"
"04404218000162","QN 305 CONJUNTO 04 LOTE 17","17","","SAMAMBAIA","9701","DF","72305204"
"04404322000157","SPLM CONJUNTO 5 LOTE 1","LOTE 1","      LOJA 01 PARTE","SETOR PLACA DA MERCEDES (NUCLEO BANDEIRANTE)","9701","DF","71732050"
"04404574000186","DO ALOJAMENTO CASA 09","09","ACAMPAMENTO RABELO","VILA PLANALTO","9701","DF","70310500"
"38479634000141","QUADRA 300 24","24","QUADRA 300;LOTE 24","RECANTO DAS EMAS","9701","DF","72620100"
"04405867000188","08 BLOCO 19 LOTE 06 LOJA 03","03","","SOBRADINHO","9701","DF","73070043"
"24167679000176","BELA VISTA RUA 4 21","21","CASA 21","BELA VISTA (SAO SEBASTIAO)","9701","DF","71694106"
"04411489000145","SHCN CL QUADRA 211 BLOCO D 60","60","TERREO","ASA NORTE","9701","DF","70310500"
"04416816000151","SHCN CL QD 405 BLOCO D S/N","S/N","LOJAS 37 E 45 TERREO","ASA NORTE","9701","DF","70846040"
"04419308000127","05 CONJUNTO E CASA 02","02","","CANDANGOLANDIA","9701","DF","71725500"
"04420082000184","SHC/SW CLSW 105 BLOCO C S/N","S/N","LOJA 102","SETOR SUDOESTE","9701","DF","70310500"
"04420632000165","SEP/SUL EQ 705/905 CONJUNTO A S/N","S/N","SALA 36 TERREO","ASA SUL","9701","DF","70390055"
"04423076000180","SMDB/SUL CL CONJUNTO 12 BL D LJ  3,4  E  9"," 9","","LAGO SUL","9701","DF","71680120"
"45472939000197","QE 56 CONJUNTO G 00","00","CASA 01","GUARA II","9701","DF","71071264"
"24898473000116","AR 11 CONJUNTO 7 15","15","","SETOR OESTE (SOBRADINHO II)","9701","DF","73060207"
"14589648000150","QR 318 CONJUNTO 8 17","17","CASA 17","SAMAMBAIA SUL (SAMAMBAIA)","9701","DF","72308809"
"22188024000159","QNN 37 AREA ESPECIAL 1 93/A","93/A","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72225379"
"22873415000102","QUADRA 25 81","81","CASA","SETOR OESTE (GAMA)","9701","DF","72420250"
"04433570000126","SHC/NORTE CL QUADRA 313","313","BL.B LJ.68 TERREO","ASA NORTE","9701","DF","70310500"
"04436045000164","TERCEIRA AV  A/E 02 LOTES K,L,M,N LOJA 02","02","","NUCLEO BANDEIRANTE","9701","DF","71715056"
"22701784000118","QUADRA 2 CONJUNTO 9 casa10","casa10","CASA 10 ;SETOR Oeste","SETOR OESTE (VILA ESTRUTURAL - GUARA)","9701","DF","71255645"
"04440409000180","SHC/SW QRSW 08  LOTE  01  LOJA 12","12","","CRUZEIRO","9701","DF","70675801"
"04441503000153","SHC/N COM LOCAL QD 314 BLOCO D S/N","S/N","LOJA 55","ASA NORTE","9701","DF","70310500"
"04442522000102","CNB 08 LOTE 13 LOJA 01 S/N","S/N","","TAGUATINGA","9701","DF","71920540"
"04442529000116","QNE 22","22","LOTE 40","TAGUATINGA NORTE","9701","DF","70310500"
"36191568000184","QR 206 CONJUNTO 10 LT 11","LT 11","","SAMAMBAIA NORTE (SAMAMBAIA)","9701","DF","72316010"
"04448011000190","SHI/SUL C.L. QI 15 BLOCO M SALA 211","211","","LAGO SUL","9701","DF","71680603"
"35458354000169","HABITACIONAL SOL NASCENTE S/N","S/N","CASA 4","CEILANDIA SUL (CEILANDIA)","9701","DF","72236800"
"32674688000181","QNM 6 CONJUNTO G 40","40","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72210067"
"36240930000160","CLS 212 BLOCO A 15","15","","ASA SUL","9701","DF","70275510"
"64364025000157","SMPW QUADRA 2 CONJUNTO 1 18C","18C","","PARK WAY","9701","DF","71735201"
"29825317000149","CLN 214 BLOCO A 28","28","","ASA NORTE","9701","DF","70873510"
"18219155000189","AR 9 CONJUNTO 10 cs 19","cs 19","","SETOR OESTE (SOBRADINHO II)","9701","DF","73062010"
"04450302000112","SHC/NORTE CL QD 306 BL A LOJA 50","50","TERREO","ASA NORTE","9701","DF","70310500"
"04451668000106","AR 09 CONJUNTO 1A LOTE 18","18","","SOBRADINHO II","9701","DF","73062000"
"04453723000105","GUARA I - QI 06 BLOCO B LOJA 11","11","","GUARA","9701","DF","71010628"
"04454372000149","SHC/NORTE - CL - QUADRA 316","316","BLOCO B LOJA 59 - TER","ASA NORTE","9701","DF","70310500"
"51923619000109","QNN 1 CONJUNTO D 33","33","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72225014"
"59317066000152","SHA CONJUNTO 4 CHACARA 88 102","102","","SETOR HABITACIONAL ARNIQUEIRA (AGUAS CLARAS)","9701","DF","71994510"
"04458180000100","SHC/NORTE CL QD. 315 BL. B LJ 85 S/N","S/N","SUBSOLO","ASA NORTE","9701","DF","70774520"
"04459175000112","SRTVS QD 701 CONJ. L BL. 01 N 38 SALA 508","508","CENTRO EMPRESARIAL","ASA NORTE","9701","DF","70310500"
"04459413000190","C - 05 - LOTE 02 - LOJA 04 S/N","S/N","","TAGUATINGA NORTE","9701","DF","70310500"
"04464472000156","QNM 01 CONJUNTO G LOTE 09","09","","CEILANDIA","9701","DF","72215010"
"11727590000175","QNM 24 CONJUNTO C sn","sn","CASA 3","CEILANDIA NORTE","9701","DF","72210243"
"53330259000167","QI 4 BLOCO B 115","115","","GUARA I","9701","DF","71010622"
"32858751000130","AOS 1 BLOCO D 514","514","","AREA OCTOGONAL","9701","DF","70660014"
"53330275000150","RESIDENCIAL DOM FRANCISCO QUADRA 11 23","23","","RECANTO DAS EMAS","9701","DF","72669081"
"29918543000174","BASEVI AR 03 13","13","","NUCLEO RURAL LAGO OESTE (SOBRADINHO)","9701","DF","73100710"
"33050125000185","QUADRA 3 CONJUNTO G 10","10","CASA","SOBRADINHO","9701","DF","73030037"
"04469507000140","QI 11 CONJUNTO W CASA 02","02","","GUARA 1","9701","DF","70310500"
"25166046000106","QUADRA 6 CONJUNTO I 40","40","CONJ loja;CONJ","SETOR RESIDENCIAL LESTE (PLANALTINA)","9701","DF","73360609"
"04477704000100","QE 36 CONJUNTO G CASA 10","10","","GUARA II","9701","DF","71065073"
"55675462000109","QI 10 BLOCO P 309","309","","GUARA I","9701","DF","71010167"
"04477926000123","2 . AVENIDA LOTE 545/B","545/B","LOJA 01","NUCLEO BANDEIRANTE","9701","DF","71715056"
"04477938000158","SHCS CR QD 509 BL A LJS 65 E 67 TERREO 61","61","1 E 2 PAVIMENTO","ASA SUL","9701","DF","70310500"
