"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"12140385000171","CCSW 3 04","04","LOJA  13","SETOR SUDOESTE","9701","DF","70680350"
"12153222000123","SHCE/S QUADRA 511 CL LT 1  BL C LOJA 32","32","","CRUZEIRO","9701","DF","70650503"
"12184994000122","DEODATO LOULY (QUADRAS 03,04,06,07,08,09,10 E 11) 09","09","LOTE 02;LOJA 02","VILA VICENTINA","9701","DF","73320120"
"12200225000170","QN 8C 22","22","CASA ;CASA ;CASA ;CASA ;CASA","RIACHO FUNDO II","9701","DF","71880130"
"12228596000160","QS 11 CONJUNTO I 28","28","","AREAL (AGUAS CLARAS)","9701","DF","71980000"
"12232134000117","SHCE/S QUADRA 803 COMERCIO LOCAL BLOCO C LOTE 01 LOJA 22","22","","CRUZEIRO NOVO","9701","DF","70655833"
"12242802000197","QE 40 CONJUNTO Q lote 1","lote 1","LOJA 01","GUARA II","9701","DF","71070172"
"12259967000171","ARAUCARIAS LT 305 BLOCO A SALA 207 S/N","S/N","EDIF  MAGGIORE SHOPPING","AGUAS CLARAS","9701","DF","71936250"
"12271955000162","SHN QUADRA 2 167","167","LOJA ;SLJ ;BLOCO J","ASA NORTE","9701","DF","70702000"
"12284211000182","COMERCIAL NORTE QD 02 BL D ENTRADA B S/N","S/N","SALA  528","ASA NORTE","9701","DF","70712903"
"12295657000102","CENTRAL 1115","1115","SETOR VILA NOVA","SAO SEBASTIAO","9701","DF","71693166"
"12322024000146","CNB 11 LOTE 10/11","10/11","LOJA  01 PARTE B","TAGUATINGA NORTE","9701","DF","72115939"
"33414246000169","CA (CENTRO DE ATIVIDADES) 2 01","01","LOTE 01;BLOCO G;SALA 110;EDIF PREMIUM","SETOR DE HABITACOES INDIVIDUAIS NORTE","9701","DF","71503502"
"12328515000102","EQNM (COMERCIO) 1/3 BLOCO A 04","04","LOTE 04;LOJA 04","CEILANDIA SUL","9701","DF","72215521"
"12358815000126","QMS 60D 04","04","LOJA 02","SETOR DE MANSOES DE SOBRADINHO","9701","DF","73082660"
